average_value_gap,blotto_nash_distance,blunder_rate,connect4_optimal_move_accuracy,consistency_accuracy_variance,consistency_nash_distance_variance,consistency_outcome_stability,consistency_per_state_agreement,consistency_variance_across_trials,experiment_group,game,hallucination_rate,invalid_attempt_rate,legality_rate,losses,matches,model,prompt_family_id,scope_id,scope_type,tie_rate,ties,win_rate,wins
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_lmh,architecture,1.0,10,0.0,0
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_hhl,architecture,1.0,10,0.0,0
,,,,,,0.8,0.45,0.16,internal_ai_tournament,connect4,1.0,1.0,0.0,2,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_lmh,architecture,0.0,0,0.8,8
,,,,,,0.6,0.25,0.24,internal_ai_tournament,connect4,1.0,1.0,0.0,6,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_hhl,architecture,0.0,0,0.4,4
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_llh,architecture,1.0,10,0.0,0
,,,,,,0.7,0.8333333333333334,0.21,internal_ai_tournament,connect4,1.0,1.0,0.0,7,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_llh,architecture,0.0,0,0.3,3
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_lmh,architecture,1.0,10,0.0,0
,,,,,,0.7,0.5,0.21,internal_ai_tournament,connect4,1.0,1.0,0.0,7,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_lmh,architecture,0.0,0,0.3,3
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_hhl,architecture,1.0,10,0.0,0
,,,,,,0.6,0.5,0.24,internal_ai_tournament,connect4,1.0,1.0,0.0,4,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_hhl,architecture,0.0,0,0.6,6
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_llh,architecture,1.0,10,0.0,0
,,,,,,0.6,0.5,0.24,internal_ai_tournament,connect4,1.0,1.0,0.0,4,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_llh,architecture,0.0,0,0.6,6
,,,,,,1.0,,0.0,blotto_vs_bots,blotto,1.0,1.0,0.0,0,8,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_lmh,architecture,1.0,8,0.0,0
,,,,,,1.0,,0.0,blotto_vs_bots,blotto,1.0,1.0,0.0,0,8,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_hhl,architecture,1.0,8,0.0,0
