average_value_gap,blotto_nash_distance,blunder_rate,connect4_optimal_move_accuracy,consistency_accuracy_variance,consistency_nash_distance_variance,consistency_outcome_stability,consistency_per_state_agreement,consistency_variance_across_trials,experiment_group,game,hallucination_rate,invalid_attempt_rate,legality_rate,losses,matches,model,prompt_family_id,scope_id,scope_type,tie_rate,ties,win_rate,wins
,0.185,,,,0.0012250000000000002,1.0,,0.0,internal_ai_tournament,blotto,0.0,0.0,1.0,0,2,mock-deterministic,structured_reasoning_v1,single,architecture,1.0,2,0.0,0
,0.125,,,,0.009025,1.0,,0.0,internal_ai_tournament,blotto,0.0,0.0,1.0,0,2,mock-deterministic,structured_reasoning_v1,parallel,architecture,1.0,2,0.0,0
,,,,,,1.0,1.0,0.0,internal_ai_tournament,connect4,0.0,0.0,1.0,0,2,mock-deterministic,structured_reasoning_v1,single,architecture,0.0,0,1.0,2
,,,,,,0.5,,0.25,internal_ai_tournament,connect4,0.0,0.0,1.0,1,2,mock-deterministic,structured_reasoning_v1,parallel,architecture,0.0,0,0.5,1
,0.09,,,,0.0036,1.0,,0.0,internal_ai_tournament,blotto,0.0,0.0,1.0,0,2,mock-deterministic,structured_reasoning_v1,hierarchical,architecture,1.0,2,0.0,0
,,,,,,1.0,1.0,0.0,internal_ai_tournament,connect4,0.0,0.0,1.0,2,2,mock-deterministic,structured_reasoning_v1,hierarchical,architecture,0.0,0,0.0,0
,0.1425,,,,0.004368749999999999,0.75,,0.1875,blotto_vs_bots,blotto,0.0,0.0,1.0,3,4,mock-deterministic,structured_reasoning_v1,single,architecture,0.0,0,0.25,1
,0.1525,,,,0.0037687500000000004,0.75,,0.1875,blotto_vs_bots,blotto,0.0,0.0,1.0,3,4,mock-deterministic,structured_reasoning_v1,parallel,architecture,0.0,0,0.25,1
,0.24,,,,0.0014499999999999995,0.75,,0.1875,blotto_vs_bots,blotto,0.0,0.0,1.0,3,4,mock-deterministic,structured_reasoning_v1,hierarchical,architecture,0.0,0,0.25,1
20010.8,,0.8,20.0,0.0,,1.0,,0.0,connect4_oracle_accuracy,connect4,0.0,0.0,1.0,1,1,mock-deterministic,structured_reasoning_v1,single,architecture,0.0,0,0.0,0
20010.8,,0.8,20.0,0.0,,1.0,,0.0,connect4_oracle_accuracy,connect4,0.0,0.0,1.0,1,1,mock-deterministic,structured_reasoning_v1,parallel,architecture,0.0,0,0.0,0
20010.8,,0.8,20.0,0.0,,1.0,,0.0,connect4_oracle_accuracy,connect4,0.0,0.0,1.0,1,1,mock-deterministic,structured_reasoning_v1,hierarchical,architecture,0.0,0,0.0,0
