average_value_gap,blotto_nash_distance,blunder_rate,connect4_optimal_move_accuracy,consistency_accuracy_variance,consistency_nash_distance_variance,consistency_outcome_stability,consistency_per_state_agreement,consistency_variance_across_trials,experiment_group,game,hallucination_rate,invalid_attempt_rate,legality_rate,losses,matches,scope_id,scope_type,tie_rate,ties,win_rate,wins
,0.13333333333333333,,,,0.006155555555555556,1.0,1.0,0.0,internal_ai_tournament,blotto,0.0,0.0,1.0,0,6,structured_reasoning_v1,prompt,1.0,6,0.0,0
,,,,,,0.5,1.0,0.25,internal_ai_tournament,connect4,0.0,0.0,1.0,3,6,structured_reasoning_v1,prompt,0.0,0,0.5,3
,0.17833333333333334,,,,0.005113888888888888,0.75,,0.1875,blotto_vs_bots,blotto,0.0,0.0,1.0,9,12,structured_reasoning_v1,prompt,0.0,0,0.25,3
20010.8,,0.8,20.0,0.0,,1.0,1.0,0.0,connect4_oracle_accuracy,connect4,0.0,0.0,1.0,3,3,structured_reasoning_v1,prompt,0.0,0,0.0,0
