average_value_gap,blotto_nash_distance,blunder_rate,connect4_optimal_move_accuracy,consistency_accuracy_variance,consistency_nash_distance_variance,consistency_outcome_stability,consistency_per_state_agreement,consistency_variance_across_trials,experiment_group,game,hallucination_rate,invalid_attempt_rate,legality_rate,losses,matches,scope_id,scope_type,tie_rate,ties,win_rate,wins
,0.15931034482758621,,,,0.013702972651605232,0.4,0.5666666666666667,0.2,internal_ai_tournament,blotto,0.03333333333333333,0.03333333333333333,0.9666666666666667,24,60,structured_reasoning_v1,prompt,0.2,12,0.4,24
,,,,,,0.48333333333333334,0.6222619047619048,0.24166666666666667,internal_ai_tournament,connect4,0.05063291139240506,0.05063291139240506,0.9493670886075949,29,60,structured_reasoning_v1,prompt,0.03333333333333333,2,0.48333333333333334,29
,0.18229166666666666,,,,0.019225998263888888,0.5416666666666666,,0.2222222222222222,blotto_vs_bots,blotto,0.0,0.0,1.0,18,48,structured_reasoning_v1,prompt,0.08333333333333333,4,0.5416666666666666,26
11418.198116666666,,0.7506854256854257,24.9325,80.88016875,,1.0,0.5868055555555556,0.0,connect4_oracle_accuracy,connect4,0.01020408163265306,0.01020408163265306,0.9897959183673469,12,12,structured_reasoning_v1,prompt,0.0,0,0.0,0
