average_value_gap,blotto_nash_distance,blunder_rate,connect4_optimal_move_accuracy,consistency_accuracy_variance,consistency_nash_distance_variance,consistency_outcome_stability,consistency_per_state_agreement,consistency_variance_across_trials,experiment_group,game,hallucination_rate,invalid_attempt_rate,legality_rate,losses,matches,model,prompt_family_id,scope_id,scope_type,tie_rate,ties,win_rate,wins
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_qmix,architecture,1.0,10,0.0,0
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_f16f16q4,architecture,1.0,10,0.0,0
,,,,,,0.6,0.45,0.24,internal_ai_tournament,connect4,1.0,1.0,0.0,6,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_qmix,architecture,0.0,0,0.4,4
,,,,,,0.5,0.4375,0.25,internal_ai_tournament,connect4,1.0,1.0,0.0,5,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_f16f16q4,architecture,0.0,0,0.5,5
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_q4q4f16,architecture,1.0,10,0.0,0
,,,,,,0.8,0.3333333333333333,0.16,internal_ai_tournament,connect4,1.0,1.0,0.0,2,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_q4q4f16,architecture,0.0,0,0.8,8
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_qmix,architecture,1.0,10,0.0,0
,,,,,,0.6,0.4166666666666667,0.24,internal_ai_tournament,connect4,1.0,1.0,0.0,6,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_qmix,architecture,0.0,0,0.4,4
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_f16f16q4,architecture,1.0,10,0.0,0
,,,,,,0.5,0.6666666666666666,0.25,internal_ai_tournament,connect4,1.0,1.0,0.0,5,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_f16f16q4,architecture,0.0,0,0.5,5
,,,,,,1.0,,0.0,internal_ai_tournament,blotto,1.0,1.0,0.0,0,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_q4q4f16,architecture,1.0,10,0.0,0
,,,,,,0.6,0.5,0.24,internal_ai_tournament,connect4,1.0,1.0,0.0,6,10,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_q4q4f16,architecture,0.0,0,0.4,4
,,,,,,1.0,,0.0,blotto_vs_bots,blotto,1.0,1.0,0.0,0,8,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_qmix,architecture,1.0,8,0.0,0
,,,,,,1.0,,0.0,blotto_vs_bots,blotto,1.0,1.0,0.0,0,8,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_f16f16q4,architecture,1.0,8,0.0,0
,,,,,,1.0,,0.0,blotto_vs_bots,blotto,1.0,1.0,0.0,0,8,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_q4q4f16,architecture,1.0,8,0.0,0
,,,,,,1.0,,0.0,blotto_vs_bots,blotto,1.0,1.0,0.0,0,8,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_qmix,architecture,1.0,8,0.0,0
,,,,,,1.0,,0.0,blotto_vs_bots,blotto,1.0,1.0,0.0,0,8,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_f16f16q4,architecture,1.0,8,0.0,0
,,,,,,1.0,,0.0,blotto_vs_bots,blotto,1.0,1.0,0.0,0,8,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_q4q4f16,architecture,1.0,8,0.0,0
10009.53845,,0.6692307692307693,33.075,170.95562499999997,,1.0,0.5,0.0,connect4_oracle_accuracy,connect4,1.0,1.0,0.0,2,2,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_qmix,architecture,0.0,0,0.0,0
22497.0,,0.675,32.5,56.25,,1.0,0.5,0.0,connect4_oracle_accuracy,connect4,1.0,1.0,0.0,2,2,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_f16f16q4,architecture,0.0,0,0.0,0
12515.36365,,0.7727272727272727,22.725,516.4256250000001,,1.0,0.5,0.0,connect4_oracle_accuracy,connect4,1.0,1.0,0.0,2,2,qwen2_5_7b_quantization_subset,structured_reasoning_v1,parallel_q4q4f16,architecture,0.0,0,0.0,0
10785.375,,0.6931818181818181,30.68,32.2624,,1.0,0.5,0.0,connect4_oracle_accuracy,connect4,1.0,1.0,0.0,2,2,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_qmix,architecture,0.0,0,0.0,0
8715.02275,,0.39015151515151514,60.985,7.049025000000006,,1.0,0.75,0.0,connect4_oracle_accuracy,connect4,1.0,1.0,0.0,2,2,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_f16f16q4,architecture,0.0,0,0.0,0
13126.5625,,0.61875,38.125,328.515625,,1.0,0.5,0.0,connect4_oracle_accuracy,connect4,1.0,1.0,0.0,2,2,qwen2_5_7b_quantization_subset,structured_reasoning_v1,hierarchical_q4q4f16,architecture,0.0,0,0.0,0
