scope,run_id,run_label,benchmark_name,model,prompt_family_id,experiment_group,game,variant_name,architecture_id,architecture_name,trial_count,run_count,outcome_score_mean,outcome_score_variance,outcome_score_stddev,outcome_score_observations,invalid_rate_mean,invalid_rate_variance,invalid_rate_stddev,invalid_rate_observations,nash_distance_mean,nash_distance_variance,nash_distance_stddev,nash_distance_observations,oracle_accuracy_mean,oracle_accuracy_variance,oracle_accuracy_stddev,oracle_accuracy_observations,value_gap_mean,value_gap_variance,value_gap_stddev,value_gap_observations,blunder_rate_mean,blunder_rate_variance,blunder_rate_stddev,blunder_rate_observations
run,run_20260411_214609_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,blotto_vs_bots,blotto,discrete_blotto_v1,parallel,Parallel Team,12,1,0.4166666666666667,0.24305555555555555,0.4930066485916347,12,0.0,0.0,0.0,12,0.15916666666666668,0.003557638888888889,0.05964594612284131,12,,,,0,,,,0,,,,0
run,run_20260410_163635_8bf1db5_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,,blotto_vs_bots,blotto,blotto,parallel_team,Parallel Team,6,1,0.5833333333333334,0.11805555555555555,0.3435921354681384,6,0.0,0.0,0.0,6,,,,0,,,,0,,,,0,,,,0
run,run_20260410_163635_8bf1db5_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,,blotto_vs_bots,blotto,blotto,random_bot,Random Bot,9,1,0.2222222222222222,0.1728395061728395,0.41573970964154905,9,0.0,0.0,0.0,9,,,,0,,,,0,,,,0,,,,0
run,run_20260411_213908_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,blotto_vs_bots,blotto,discrete_blotto_v1,single,Single Agent,12,1,0.16666666666666666,0.1388888888888889,0.37267799624996495,12,0.0,0.0,0.0,12,0.14166666666666666,0.006813888888888889,0.08254628331359862,12,,,,0,,,,0,,,,0
run,run_20260411_214117_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,blotto_vs_bots,blotto,discrete_blotto_v1,single,Single Agent,12,1,0.16666666666666666,0.1388888888888889,0.37267799624996495,12,0.0,0.0,0.0,12,0.14166666666666666,0.006813888888888889,0.08254628331359862,12,,,,0,,,,0,,,,0
run,run_20260411_214609_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,blotto_vs_bots,blotto,discrete_blotto_v1,single,Single Agent,12,1,0.16666666666666666,0.1388888888888889,0.37267799624996495,12,0.0,0.0,0.0,12,0.14166666666666666,0.006813888888888889,0.08254628331359862,12,,,,0,,,,0,,,,0
run,run_20260410_163635_8bf1db5_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,,blotto_vs_bots,blotto,blotto,single_agent,Single Agent,6,1,0.75,0.0625,0.25,6,0.0,0.0,0.0,6,,,,0,,,,0,,,,0,,,,0
run,run_20260410_163635_8bf1db5_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,,blotto_vs_bots,blotto,blotto,uniform_bot,Uniform Bot,9,1,0.5,0.0,0.0,9,0.0,0.0,0.0,9,,,,0,,,,0,,,,0,,,,0
run,run_20260411_213908_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,hierarchical,Hierarchical Team,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,20.0,0.0,0.0,3,20010.8,0.0,0.0,3,0.8,0.0,0.0,3
run,run_20260411_214117_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,hierarchical,Hierarchical Team,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,20.0,0.0,0.0,3,20010.8,0.0,0.0,3,0.8,0.0,0.0,3
