architecture_ids,architecture_names,architecture_types,backend,benchmark_name,completed_at,duration_ms,experiment_group,game,game_parameters,model,outcome_label,prompt_family,prompt_family_id,prompt_version,record_type,run_id,seed,started_at,trial,trial_id,variant_name
"[""parallel_hhl"", ""parallel_llh""]","[""Parallel Team (High+High+Low)"", ""Parallel Team (Low+Low+High)""]","[""parallel"", ""parallel""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:21:51Z,25000,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",qwen2_5_param_count_subset,Parallel Team (High+High+Low),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,3538272916,2026-04-11T02:21:26Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::3538272916,discrete_blotto_v1
"[""parallel_hhl"", ""parallel_llh""]","[""Parallel Team (High+High+Low)"", ""Parallel Team (Low+Low+High)""]","[""parallel"", ""parallel""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:25:04Z,193000,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",qwen2_5_param_count_subset,Parallel Team (High+High+Low),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,3247013589,2026-04-11T02:21:51Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::3247013589,gravity_grid_standard_v1
"[""parallel_hhl"", ""hierarchical_lmh""]","[""Parallel Team (High+High+Low)"", ""Hierarchical Team (Low->Med->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:25:32Z,28000,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",qwen2_5_param_count_subset,Parallel Team (High+High+Low),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,577246562,2026-04-11T02:25:04Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::577246562,discrete_blotto_v1
"[""parallel_hhl"", ""hierarchical_lmh""]","[""Parallel Team (High+High+Low)"", ""Hierarchical Team (Low->Med->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:30:03Z,271000,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",qwen2_5_param_count_subset,Parallel Team (High+High+Low),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,1619432630,2026-04-11T02:25:32Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::1619432630,gravity_grid_standard_v1
"[""parallel_hhl"", ""hierarchical_hhl""]","[""Parallel Team (High+High+Low)"", ""Hierarchical Team (Low->High->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:30:33Z,30000,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",qwen2_5_param_count_subset,Hierarchical Team (Low->High->High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,3168222697,2026-04-11T02:30:03Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::3168222697,discrete_blotto_v1
"[""parallel_hhl"", ""hierarchical_hhl""]","[""Parallel Team (High+High+Low)"", ""Hierarchical Team (Low->High->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:34:11Z,218000,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",qwen2_5_param_count_subset,Hierarchical Team (Low->High->High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,643944194,2026-04-11T02:30:33Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::643944194,gravity_grid_standard_v1
"[""parallel_hhl"", ""hierarchical_llh""]","[""Parallel Team (High+High+Low)"", ""Hierarchical Team (Low->Low->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:34:31Z,20000,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",qwen2_5_param_count_subset,Hierarchical Team (Low->Low->High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,3689226368,2026-04-11T02:34:11Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::3689226368,discrete_blotto_v1
"[""parallel_hhl"", ""hierarchical_llh""]","[""Parallel Team (High+High+Low)"", ""Hierarchical Team (Low->Low->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:36:01Z,90000,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",qwen2_5_param_count_subset,Parallel Team (High+High+Low),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,2089360138,2026-04-11T02:34:31Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::2089360138,gravity_grid_standard_v1
"[""parallel_llh"", ""hierarchical_lmh""]","[""Parallel Team (Low+Low+High)"", ""Hierarchical Team (Low->Med->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:36:29Z,28000,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",qwen2_5_param_count_subset,Parallel Team (Low+Low+High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,643250054,2026-04-11T02:36:01Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::643250054,discrete_blotto_v1
"[""parallel_llh"", ""hierarchical_lmh""]","[""Parallel Team (Low+Low+High)"", ""Hierarchical Team (Low->Med->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:41:07Z,278000,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",qwen2_5_param_count_subset,Hierarchical Team (Low->Med->High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,2883872906,2026-04-11T02:36:29Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::2883872906,gravity_grid_standard_v1
