average_value_gap,blotto_nash_distance,blunder_rate,connect4_optimal_move_accuracy,consistency_accuracy_variance,consistency_nash_distance_variance,consistency_outcome_stability,consistency_per_state_agreement,consistency_variance_across_trials,experiment_group,game,hallucination_rate,invalid_attempt_rate,legality_rate,losses,matches,scope_id,scope_type,tie_rate,ties,win_rate,wins
,0.09576271186440678,,,,0.0038888250502729102,0.4666666666666667,0.5166666666666667,0.23333333333333334,internal_ai_tournament,blotto,0.016666666666666666,0.016666666666666666,0.9833333333333333,28,60,structured_reasoning_v1,prompt,0.06666666666666667,4,0.4666666666666667,28
,,,,,,0.5,0.6176330525695317,0.25,internal_ai_tournament,connect4,0.0,0.0,1.0,30,60,structured_reasoning_v1,prompt,0.0,0,0.5,30
,0.13666666666666666,,,,0.007080555555555556,0.4791666666666667,,0.23958333333333334,blotto_vs_bots,blotto,0.0,0.0,1.0,23,48,structured_reasoning_v1,prompt,0.041666666666666664,2,0.4791666666666667,23
13967.60225,,0.7524151774151774,24.758333333333333,164.82606388888888,,1.0,0.7291666666666666,0.0,connect4_oracle_accuracy,connect4,0.0,0.0,1.0,12,12,structured_reasoning_v1,prompt,0.0,0,0.0,0
